,M,b,LD,CW,CT4,CT12
0,0,0,0.7647058823529411,True,False,False
0,0,0,1.8823529411764706,True,False,False
0,0,0,0.8823529411764706,True,True,False
0,0,0,1.0588235294117647,True,False,False
0,0,0,5.705882352941177,True,False,False
0,0,0,0.5882352941176471,True,True,False
0,0,0,1.8235294117647058,False,False,False
0,0,0,2.588235294117647,True,False,False
0,0,0,3.0588235294117645,True,False,False
0,0,0,1.1176470588235294,True,False,False
0,0,0,1.411764705882353,True,False,False
0,0,0,0.8823529411764706,False,False,False
0,0,0,0.8823529411764706,False,False,False
0,0,0,0.7058823529411765,True,True,False
0,0,0,0.5294117647058824,True,False,False
0,0,0,2.4705882352941178,True,True,False
0,0,0,12.823529411764707,False,False,False
0,0,0,2.411764705882353,True,False,False
0,0,0,0.9411764705882353,True,True,False
0,0,0,0.6470588235294118,True,True,False
0,0,0,0.9411764705882353,False,False,False
0,0,0,2.0588235294117645,True,False,False
0,0,0,1.0,False,False,False
0,0,0,2.1176470588235294,False,False,False
